Iso_1_1,Gene_1
Iso_1_2,Gene_2
Iso_1_3,Gene_3
Iso_1_4,Gene_4
Iso_1_5,Gene_5
Iso_1_6,Gene_6
Iso_1_7,Gene_7
Iso_1_8,Gene_8
Iso_1_9,Gene_9
Iso_1_10,Gene_10
Iso_1_11,Gene_11
Iso_1_12,Gene_12
Iso_1_13,Gene_13
Iso_1_14,Gene_14
Iso_1_15,Gene_15
Iso_1_16,Gene_16
Iso_1_17,Gene_17
Iso_1_18,Gene_18
Iso_1_19,Gene_19
Iso_1_20,Gene_20
Iso_1_21,Gene_21
Iso_1_22,Gene_22
Iso_1_23,Gene_23
Iso_1_24,Gene_24
Iso_1_25,Gene_25
Iso_1_26,Gene_26
Iso_1_27,Gene_27
Iso_1_28,Gene_28
Iso_1_29,Gene_29
Iso_1_30,Gene_30
Iso_1_31,Gene_31
Iso_1_32,Gene_32
Iso_1_33,Gene_33
Iso_1_34,Gene_34
Iso_1_35,Gene_35
Iso_1_36,Gene_36
Iso_1_37,Gene_37
Iso_1_38,Gene_38
Iso_1_39,Gene_39
Iso_1_40,Gene_40
Iso_1_41,Gene_41
Iso_1_42,Gene_42
Iso_1_43,Gene_43
Iso_1_44,Gene_44
Iso_1_45,Gene_45
Iso_1_46,Gene_46
Iso_1_47,Gene_47
Iso_1_48,Gene_48
Iso_1_49,Gene_49
Iso_1_50,Gene_50
Iso_1_51,Gene_51
Iso_1_52,Gene_52
Iso_1_53,Gene_53
Iso_1_54,Gene_54
Iso_1_55,Gene_55
Iso_1_56,Gene_56
Iso_1_57,Gene_57
Iso_1_58,Gene_58
Iso_1_59,Gene_59
Iso_1_60,Gene_60
Iso_1_61,Gene_61
Iso_1_62,Gene_62
Iso_1_63,Gene_63
Iso_1_64,Gene_64
Iso_1_65,Gene_65
Iso_1_66,Gene_66
Iso_1_67,Gene_67
Iso_1_68,Gene_68
Iso_1_69,Gene_69
Iso_1_70,Gene_70
Iso_1_71,Gene_71
Iso_1_72,Gene_72
Iso_1_73,Gene_73
Iso_1_74,Gene_74
Iso_1_75,Gene_75
Iso_1_76,Gene_76
Iso_1_77,Gene_77
Iso_1_78,Gene_78
Iso_1_79,Gene_79
Iso_1_80,Gene_80
Iso_1_81,Gene_81
Iso_1_82,Gene_82
Iso_1_83,Gene_83
Iso_1_84,Gene_84
Iso_1_85,Gene_85
Iso_1_86,Gene_86
Iso_1_87,Gene_87
Iso_1_88,Gene_88
Iso_1_89,Gene_89
Iso_1_90,Gene_90
Iso_1_91,Gene_91
Iso_1_92,Gene_92
Iso_1_93,Gene_93
Iso_1_94,Gene_94
Iso_1_95,Gene_95
Iso_1_96,Gene_96
Iso_1_97,Gene_97
Iso_1_98,Gene_98
Iso_1_99,Gene_99
Iso_1_100,Gene_100
Iso_1_101,Gene_101
Iso_1_102,Gene_102
Iso_1_103,Gene_103
Iso_1_104,Gene_104
Iso_1_105,Gene_105
Iso_1_106,Gene_106
Iso_1_107,Gene_107
Iso_1_108,Gene_108
Iso_1_109,Gene_109
Iso_1_110,Gene_110
Iso_1_111,Gene_111
Iso_1_112,Gene_112
Iso_1_113,Gene_113
Iso_1_114,Gene_114
Iso_1_115,Gene_115
Iso_1_116,Gene_116
Iso_1_117,Gene_117
Iso_1_118,Gene_118
