,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
Iso_1_1,176,212,164,142,180,687,681,737,446,527
Iso_1_2,789,915,919,942,892,3334,3211,2641,3371,3382
Iso_1_3,1300,1377,1408,1376,1395,383,440,367,378,369
Iso_1_4,474,487,483,473,499,1587,1671,1437,1598,1668
Iso_1_5,1061,949,816,1040,897,211,266,289,231,275
Iso_1_6,346,348,426,392,488,1452,1751,1487,1310,1370
Iso_1_7,2604,3284,2643,2705,2651,794,823,827,789,808
Iso_1_8,859,981,894,793,913,235,223,244,312,263
Iso_1_9,2598,1990,2720,2700,2354,10108,11481,5625,8481,7759
Iso_1_10,322,448,451,328,314,683,794,1429,1302,1137
Iso_1_11,514,668,654,423,611,155,107,143,247,141
Iso_1_12,18,20,17,21,20,52,80,47,52,48
Iso_1_13,12119,12260,11659,14918,12126,2785,3393,4700,3876,3461
Iso_1_14,577,615,726,623,637,1921,2102,2348,2411,2265
Iso_1_15,2802,3111,3574,3438,3635,860,789,1030,981,1042
Iso_1_16,22,25,18,15,21,49,83,66,94,76
Iso_1_17,187,182,221,198,244,662,778,872,648,913
Iso_1_18,355,324,324,350,316,1324,1234,1033,1350,990
Iso_1_19,2621,2775,2693,2465,2925,878,743,938,622,645
Iso_1_20,219,321,278,252,222,62,63,62,72,64
Iso_1_21,8515,8727,8223,8274,8195,2417,2346,2080,2393,2243
Iso_1_22,350,343,320,312,361,1322,1306,1119,1170,1081
Iso_1_23,3339,1902,2446,2939,2584,13173,6721,14713,9267,7582
Iso_1_24,440,397,475,453,474,1591,1649,1452,1680,1418
Iso_1_25,66,72,45,56,44,283,160,198,213,233
Iso_1_26,170,188,194,172,196,787,697,739,655,708
Iso_1_27,371,337,403,388,297,78,86,89,99,98
Iso_1_28,1112,778,915,836,728,2967,3201,3527,3502,3115
Iso_1_29,1696,1426,1631,1536,1388,5008,5298,6333,4964,5317
Iso_1_30,662,782,640,554,742,2399,2048,1956,2580,2372
Iso_1_31,71,55,62,69,63,283,248,272,252,295
Iso_1_32,155,115,123,93,132,630,435,561,387,568
Iso_1_33,554,810,796,559,586,1956,1410,2037,1655,2445
Iso_1_34,2378,2226,2548,2337,2419,610,668,648,626,627
Iso_1_35,668,656,612,689,728,2629,2459,2521,2413,2725
Iso_1_36,224,251,254,167,219,1413,889,947,662,792
Iso_1_37,1809,1633,1558,1861,1766,465,514,463,481,505
Iso_1_38,1956,1829,1796,1844,1683,345,661,417,417,445
Iso_1_39,347,323,350,318,386,1865,1660,1405,1332,1105
Iso_1_40,112,127,92,119,100,541,473,537,440,432
Iso_1_41,71,66,51,66,64,249,210,212,191,237
Iso_1_42,1119,1079,1037,973,910,308,270,312,241,314
Iso_1_43,1515,1499,1651,1523,1913,6855,6644,5010,7695,6509
Iso_1_44,1213,1141,1215,1174,1039,4024,3473,3936,4228,4415
Iso_1_45,655,681,737,798,739,3065,3372,2604,3056,3175
Iso_1_46,649,719,674,689,739,2688,1961,2373,2451,2601
Iso_1_47,348,325,270,346,337,1281,1183,1362,1375,1339
Iso_1_48,376,423,398,349,352,106,64,92,104,126
Iso_1_49,922,764,779,745,756,217,224,203,245,212
Iso_1_50,13748,13030,11768,14146,14904,3150,3918,3587,4908,3994
Iso_1_51,3171,3959,3989,2265,3201,12522,14830,11348,12113,8922
Iso_1_52,3425,3906,3476,3994,3806,1110,974,943,1053,1050
Iso_1_53,174,163,182,191,176,736,590,605,598,646
Iso_1_54,293,270,242,273,253,991,918,976,890,977
Iso_1_55,1094,1066,1112,1226,1170,316,274,355,258,348
Iso_1_56,6047,6147,7704,6056,6753,1611,2049,2141,1773,1725
Iso_1_57,64,110,92,70,92,13,23,13,24,23
Iso_1_58,564,546,594,534,609,2961,2166,2108,2282,1814
Iso_1_59,50,75,53,22,41,177,125,191,105,223
Iso_1_60,7,6,4,8,6,15,43,16,25,13
Iso_1_61,260,302,269,245,245,72,88,73,77,62
Iso_1_62,1329,1406,1404,1326,1397,6547,4378,6517,5667,5381
Iso_1_63,23,31,18,18,16,5,4,9,4,2
Iso_1_64,1250,1224,1229,1340,1259,412,441,281,431,389
Iso_1_65,108,132,168,153,118,32,38,35,34,26
Iso_1_66,1744,1765,1626,1784,1823,302,582,511,548,498
Iso_1_67,469,463,520,530,596,126,154,149,177,141
Iso_1_68,1448,1375,1519,1534,1433,457,515,412,444,514
Iso_1_69,845,875,947,911,983,3047,2876,3104,3607,3117
Iso_1_70,2638,2872,2560,2763,2784,780,743,827,770,690
Iso_1_71,476,475,345,502,388,1611,1589,1705,1393,1621
Iso_1_72,175,233,208,197,210,753,778,770,696,654
Iso_1_73,1756,1691,2105,1647,1603,420,477,460,488,640
Iso_1_74,16,21,20,24,17,61,79,69,67,54
Iso_1_75,2743,2386,2572,2614,2703,641,621,821,619,625
Iso_1_76,364,283,362,375,273,74,70,102,110,110
Iso_1_77,10,5,7,2,10,21,28,23,20,17
Iso_1_78,35,40,35,24,41,114,114,98,97,93
Iso_1_79,44761,48648,49027,42379,43612,12706,11164,11595,12352,10034
Iso_1_80,1468,1962,2029,1582,1784,6368,7408,5430,6747,6795
Iso_1_81,17,23,20,31,20,56,90,55,60,71
Iso_1_82,3536,3520,3204,3534,3838,981,975,990,848,826
Iso_1_83,249,224,224,276,250,832,995,971,994,751
Iso_1_84,411,395,387,403,443,1632,1520,1721,1318,1359
Iso_1_85,363,412,407,323,377,1117,1479,1427,1264,1293
Iso_1_86,453,416,450,298,373,1916,1397,1376,1269,1574
Iso_1_87,3957,4246,3550,3557,3840,1023,994,1063,1234,714
Iso_1_88,686,874,840,679,609,192,240,152,188,202
Iso_1_89,721,878,841,698,960,201,201,203,241,294
Iso_1_90,258,271,309,235,300,88,74,66,58,80
Iso_1_91,19908,20397,21876,19674,21669,5071,5071,6866,5921,7445
Iso_1_92,134,145,93,116,162,374,375,482,324,569
Iso_1_93,844,665,636,750,822,212,224,227,211,177
Iso_1_94,474,534,495,505,484,1715,1639,1701,1731,1678
Iso_1_95,37,36,30,33,40,163,173,120,138,142
